16/08/2026                                                                                          Página 1



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
HG1/09/Copl                   98472     BH   BH.G    100098475  98475     Historia de la filosofía /                                  
HG1/09/Copl                   98476     BH   BH.G    100098478  98478     Historia de la filosofía /                                  
HG1/09/Copl                   98482     BH   BH.G    100098486  98486     Historia de la filosofía /                                  
HG1/09/Copl                   39702     BH   BH.G    100039705  39705     Historia de la filosofía /                                  
HG1/09/Copl                   39706     BH   BH.G    100039711  39711     Historia de la filosofía /                                  
HG1/09/Copl                   39714     BH   BH.G    102020912  39718     Historia de la filosofía /                                  
HG1/09/Copl                   39721     BH   BH.G    100039725  39725     Historia de la filosofía /                                  
HG1/09/Copl                   39727     BH   BH.G    102020914  39732     Historia de la filosofía /                                  
HG1/09/Copl                   39737     BH   BH.G    100039738  39738     Historia de la filosofía /                                  
HG1/09/Copl                   39737     BH   BH.G    100098471  98471     Historia de la filosofía /                                  
HG1/09/Corb                   771095    BH   BH.G    100918390  918390    Historia de la filosofía islámica /                         
HG1/09/Corb                   771095    BH   BH.G    100920373  920373    Historia de la filosofía islámica /                         
HG1/09/Corp                   85405     BH   BH.G    100085417  85417     Traité du beau /                                            
HG1/09/Corp                   85707     BH   BH.G    100085716  85716     Considérations sur les corps organisés /                    


16/08/2026                                                                                          Página 5



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
-------------------  -------- --------  ---- ------  ---------- --------  ------------------------------------------------------------
HG1/09/Corp                   177813    BH   BH.G    100177834  177834    Le Christianisme et la Révolution Française /               
HG1/09/Corp                   86100     BH   BH.G    100086106  86106     Questions inouyes : questions harmoniques, questions théolog
HG1/09/Corp                   85763     BH   BH.G    100085773  85773     La véritable maniere d'instruire les sourds et muets : confo
HG1/09/Corp                   85596     BH   BH.G    100085602  85602     Exposition du système du monde /                            
HG1/09/Corp                   85749     BH   BH.G    100085758  85758     Essai philosophique sur l'âme des bêtes /                   
HG1/09/Corp                   85732     BH   BH.G    100085747  85747     Telliamed ou Entretiens d'un philosophe indien avec un missi
HG1/09/Corp                   85707     BH   BH.G    100879472  879472    Considérations sur les corps organisés /                    
HG1/09/Corp                   878332    BH   BH.G    100878335  878335    Système de la nature /                                      
HG1/09/Corp                   566243    BH   BH.G    100566245  566245    Oeuvres /                                                   
HG1/09/Corp                   879578    BH   BH.G    100879579  879579    De l'humanité /                                             
HG1/09/Corp                   794354    BH   BH.G    100794363  794363    De l'habitude /                                             
HG1/09/Corp                   566229    BH   BH.G    100566238  566238    Oeuvres /                                                   
HG1/09/Corp                   878416    BH   BH.G    100878427  878427    Recherches sur l'organisation des corps vivants /           
HG1/09/Corp                   878354    BH   BH.G    100878355  878355    Système de la nature /                                      
HG1/09/Cruz                   1223132   BH   BH.G    102300443  1799535   Historia del pensamiento en el mundo islámico /             
HG1/09/Cruz                   13427     BH   BH.G    100040777  40777     Historia del pensamiento en el mundo islámico /             
HG1/09/Cruz                   100984    BH   BH.G    100100991  100991    La filosofía árabe /                                        
HG1/09/Cruz                   1029186   BH   BH.G    102016394  1514841   Historia del pensamiento en el mundo islámico /             
HG1/09/Cruz                   1029183   BH   BH.G    102016393  1514839   Historia del pensamiento en el mundo islámico /             
HG1/09/Dilm                   1065208   BH   BH.G    102071929  1574350   Free will : an historical and philosophical introduction /  
HG1/09/Duqu                   989302    BH   BH.G    100989303  989303    Historia de la filosofía moderna : la era de la crítica /   
HG1/09/Eche                   1064120   BH   BH.G    102069933  1572230   Historia de la Filosofía : vocabulario y ejercicios /       
HG1/09/Eche                   2076968   BH   BH.G    102327661  1825399   El búho de Minerva /                                        
HG1/09/Elog                   2129123   BH   BH.G    102403973  1903325   Elogio de la anarquía "por dos excéntricos chinos" /        
HG1/09/Eras                   1054767   BH   BH.G    102404819  1912424   Erasmo en España : la recepción del Humanismo en el primer R
HG1/09/Filo                   1083551   BH   BH.G    102099565  1606652   Filosofía. 1o Bachillerato /                                
HG1/09/Filo                   1083551   BH   BH.G    102099566  1606651   Filosofía. 1o Bachillerato /                                
HG1/09/Filo                   1083551   BH   BH.G    102099568  1606650   Filosofía. 1o Bachillerato /                                
HG1/09/Filo                   1083551   BH   BH.G    102099553  1606649   Filosofía. 1o Bachillerato /                                
HG1/09/Floi                   95466     BH   BH.G    100095474  95474     Contemporary philosophy : a new survey /                    
HG1/09/Floi                   95480     BH   BH.G    100095485  95485     Contemporary philosophy : a new survey /                    
HG1/09/Floi                   218692    BH   BH.G    100218789  218789    Contemporary philosophy : a new survey /                    
HG1/09/Floi                   218794    BH   BH.G    100218842  218842    Contemporary philosophy : a new survey /                    
HG1/09/Floi                   218843    BH   BH.G    100218848  218848    Contemporary philosophy : a new survey /                    
HG1/09/Frai                   150535    BH   BH.G    100150544  150544    Historia de la filosofía /                                  
HG1/09/Frai                   100630    BH   BH.G    100100639  100639    Historia de la filosofía /                                  
HG1/09/Frai                   100643    BH   BH.G    100100655  100655    Historia de la filosofía /                                  
HG1/09/Frai                   123748    BH   BH.G    100123754  123754    Historia de la filosofía española : desde la época romana ha
HG1/09/Frai-I                 689541    BH   BH.G    100689548  689548    Historia de la filosofía /                                  
HG1/09/Frai-I                 919746    BH   BH.G    100919748  919748    Historia de la filosofía /                                  
HG1/09/Frai-II                919780    BH   BH.G    100919783  919783    Historia de la filosofía /                                  
HG1/09/Frai-III               919894    BH   BH.G    100919895  919895    Historia de la filosofía /                                  
HG1/09/Frai-IV                919896    BH   BH.G    100919897  919897    Historia de la filosofía /                                  
HG1/09/Frai-V                 919824    BH   BH.G    100919826  919826    Historia de la filosofía /                                  
HG1/09/Frai-VI                919839    BH   BH.G    100919860  919860    Historia de la filosofía /                                  
HG1/09/Fund                   1095406   BH   BH.G    102110796  1621345   Fundamentals of philosophy /                                
HG1/09/Garc                   1181622   BH   BH.G    102215865  1738635   Atlas histórico de filosofía : (del mundo griego al inicio d
HG1/09/Garc                   1064072   BH   BH.G    102069478  1572138   Historia de la filosofía /                                  
HG1/09/Garc                   98839     BH   BH.G    100098843  98843     Lecciones preliminares de filosofía /                       
HG1/09/Gay                    122822    BH   BH.G    100122826  122826    The Enlightenment : an interpretation /                     
HG1/09/Gay                    122839    BH   BH.G    100122842  122842    The Enlightenment : an interpretation /                     
HG1/09/Geym                   90003     BH   BH.G    100090005  90005     Historia de la filosofía y de la ciencia /                  
HG1/09/Geym                   89995     BH   BH.G    100156046  156046    Historia de la filosofía y de la ciencia /                  
HG1/09/Geym                   89995     BH   BH.G    100090001  90001     Historia de la filosofía y de la ciencia /                  
HG1/09/Geym                   89984     BH   BH.G    100089993  89993     Historia de la filosofía y de la ciencia /                  
HG1/09/Gonz                   1124126   BH   BH.G    102151017  1668685   Hestoria de la filosofía /                                  


16/08/2026                                                                                          Página 6



Signatura            Supl.    NA        Suc. Loc.    Cod./Bar.  NEA       Título
-------------------  -------- --------  ---- ------  ---------- --------  ------------------------------------------------------------
HG1/09/Gran                   1021978   BH   BH.G    102004169  1502834   Principios del conocimiento humano /                        
